giatacityid,sun_chillout,knowledge_travel,independence_history,culture_indulgence,social_sport,action_fun,nature_recreation,title,subtitle,text,wiki_url,gtravel_url,pic_num
4113,25,0,25,0,75,25,100,Abentau,Town in Austria,,https://en.wikipedia.org/wiki/Abtenau,https://www.google.com/travel/guide?dest_src=yts&dest_mid=%2Fm%2F03c976h&hl=en-US&gl=us#dest_mid=/m/03c976h&dest_src=yts&tcfs=EhUKCi9tLzAzYzk3NmgSB0FidGVuYXU,27
298,0,100,75,50,50,50,25,Aberdeen,City in Scotland,,https://en.wikipedia.org/wiki/Aberdeen,https://www.google.com/travel/guide?dest_src=yts&dest_mid=%2Fm%2F0rng&hl=en-US&gl=us#dest_mid=/m/0rng&dest_src=yts&tcfs=EhMKBy9tLzBybmcSCEFiZXJkZWVu,25
1918,50,100,75,100,0,0,25,Abu Simbel,Village in Egypt,,https://en.wikipedia.org/wiki/Abu_Simbel,https://www.google.com/travel/guide?dest_mid=%2Fg%2F1214g7hh&dest_src=ut&tcfs=EhkKCy9nLzEyMTRnN2hoEgpBYnUgU2ltYmVs&hl=en-US&gl=us#dest_mid=/g/1214g7hh&dest_src=ut&tcfs=EjMKCy9nLzEyMTRnN2hoEgpBYnUgU2ltYmVsGhgKCjIwMTktMTItMzESCjIwMjAtMDEtMDQ,30
3068,50,100,75,75,50,75,25,Adelaide,City in Australia,,https://en.wikipedia.org/wiki/Adelaide,https://www.google.com/travel/guide?dest_mid=%2Fm%2F0mgp&dest_src=ut&tcfs=EhMKBy9tLzBtZ3ASCEFkZWxhaWRl&hl=en-US&gl=us#dest_mid=/m/0mgp&dest_src=ut&tcfs=Ei0KBy9tLzBtZ3ASCEFkZWxhaWRlGhgKCjIwMTktMTItMzESCjIwMjAtMDEtMDQ,26
32008,50,50,75,50,50,25,25,Aden,Capital of Yemen,,https://en.wikipedia.org/wiki/Aden,https://www.google.com/travel/guide?dest_mid=%2Fm%2F09h6g&dest_src=ut&tcfs=EhAKCC9tLzA5aDZnEgRBZGVu&hl=en-US&gl=us,30
2081,100,25,50,0,50,0,50,Agia Marina,"Town in Crete, Greece",,"https://en.wikipedia.org/wiki/Agia_Marina,_Crete",https://www.google.com/travel/guide?dest_mid=%2Fm%2F027t_w_&dest_src=ut&tcfs=EhkKCi9tLzAyN3Rfd18SC0FnaWEgTWFyaW5h&hl=en-US&gl=us#dest_mid=/m/027t_w_&dest_src=ut&tcfs=EjMKCi9tLzAyN3Rfd18SC0FnaWEgTWFyaW5hGhgKCjIwMTktMTItMzESCjIwMjAtMDEtMDQ,30
2379,100,0,25,25,50,25,50,Agios Prokopios,"Village in Naxos, Greece",,"https://en.wikipedia.org/wiki/Agios_Prokopios,_Naxos",https://www.google.com/travel/guide?dest_mid=%2Fm%2F011qd9p8&dest_src=ut&tcfs=Eh4KCy9tLzAxMXFkOXA4Eg9BZ2lvcyBQcm9rb3Bpb3M&hl=en-US&gl=us,29
12846,0,25,25,0,50,0,75,Ähtäri,Town in Finland,,https://en.wikipedia.org/wiki/%C3%84ht%C3%A4ri,https://www.google.com/travel/guide?dest_mid=%2Fm%2F021722&dest_src=ut&tcfs=EhUKCS9tLzAyMTcyMhIIw4RodMOkcmk&hl=en-US&gl=us#dest_mid=/m/021722&dest_src=ut&tcfs=Ei8KCS9tLzAyMTcyMhIIw4RodMOkcmkaGAoKMjAxOS0xMi0zMRIKMjAyMC0wMS0wNA,7
18065,0,0,25,0,50,0,75,Aichhalden,Municipality in Germany,,https://en.wikipedia.org/wiki/Aichhalden,https://www.google.com/travel/guide?dest_mid=%2Fm%2F0h22g9&dest_src=ut&tcfs=EhcKCS9tLzBoMjJnORIKQWljaGhhbGRlbg&hl=en-US&gl=us#dest_mid=/m/0h22g9&dest_src=ut&tcfs=EjEKCS9tLzBoMjJnORIKQWljaGhhbGRlbhoYCgoyMDE5LTEyLTMxEgoyMDIwLTAxLTA0,5
19957,0,25,50,0,50,0,25,Aiken,City in South Carolina,,"https://en.wikipedia.org/wiki/Aiken,_South_Carolina",https://www.google.com/travel/guide?dest_mid=%2Fm%2F0_k8p&dest_src=ut&tcfs=EhEKCC9tLzBfazhwEgVBaWtlbg&hl=en-US&gl=us#dest_mid=/m/0_k8p&dest_src=ut&tcfs=EisKCC9tLzBfazhwEgVBaWtlbhoYCgoyMDE5LTEyLTMxEgoyMDIwLTAxLTA0,29
